13                                                                                                  ,Sauron                                                                                              ,JACKSON                                                                                             ,           55,            11,          30,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1859,The Art of Fun-Having                                                                               ,MS
363                                                                                                 ,Wulfstan                                                                                            ,JONES                                                                                               ,          745,            11,          14,female                                                                                              ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1991,Baby Stylist                                                                                        ,MA
363                                                                                                 ,Wulfstan                                                                                            ,JONES                                                                                               ,          745,            11,          14,female                                                                                              ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1951,Baby Stylist                                                                                        ,MA
363                                                                                                 ,Wulfstan                                                                                            ,JONES                                                                                               ,          745,            11,          14,female                                                                                              ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1888,Plant Biology                                                                                       ,MA
364                                                                                                 ,Legolas                                                                                             ,WILSON                                                                                              ,           90,            10,           9,male                                                                                                ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
365                                                                                                 ,Gotai                                                                                               ,MARTIN                                                                                              ,          753,             9,          27,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1869,Plant Biology                                                                                       ,MA
366                                                                                                 ,Brianna                                                                                             ,MARTIN                                                                                              ,          682,             1,          27,female                                                                                              ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
367                                                                                                 ,Sauron                                                                                              ,JACKSON                                                                                             ,          354,            12,          19,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1811,Microbiology                                                                                        ,BA
367                                                                                                 ,Sauron                                                                                              ,JACKSON                                                                                             ,          354,            12,          19,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1808,The Art of Fun-Having                                                                               ,MS
368                                                                                                 ,Ylthin                                                                                              ,MOORE                                                                                               ,          169,             8,          26,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1808,ECE                                                                                                 ,BA
368                                                                                                 ,Ylthin                                                                                              ,MOORE                                                                                               ,          169,             8,          26,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1955,EE                                                                                                  ,MA
368                                                                                                 ,Ylthin                                                                                              ,MOORE                                                                                               ,          169,             8,          26,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1822,The Art of Fun-Having                                                                               ,MSE
368                                                                                                 ,Ylthin                                                                                              ,MOORE                                                                                               ,          169,             8,          26,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1841,CSE                                                                                                 ,BS
369                                                                                                 ,Frodo                                                                                               ,JOHNSON                                                                                             ,          133,             5,           5,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1855,Microbiology                                                                                        ,MS
369                                                                                                 ,Frodo                                                                                               ,JOHNSON                                                                                             ,          133,             5,           5,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1988,Microbiology                                                                                        ,MS
369                                                                                                 ,Frodo                                                                                               ,JOHNSON                                                                                             ,          133,             5,           5,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1969,Baby Stylist                                                                                        ,BS
369                                                                                                 ,Frodo                                                                                               ,JOHNSON                                                                                             ,          133,             5,           5,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1884,ChemE                                                                                               ,BS
370                                                                                                 ,Pippin                                                                                              ,MARTIN                                                                                              ,          783,             7,          15,male                                                                                                ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Linhir                                                                                              ,Gondor                                                                                              ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1950,Plant Biology                                                                                       ,BS
370                                                                                                 ,Pippin                                                                                              ,MARTIN                                                                                              ,          783,             7,          15,male                                                                                                ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Linhir                                                                                              ,Gondor                                                                                              ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1831,BME                                                                                                 ,MSE
371                                                                                                 ,Ashley                                                                                              ,SMITH                                                                                               ,          191,             7,          18,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1838,ECE                                                                                                 ,MSE
371                                                                                                 ,Ashley                                                                                              ,SMITH                                                                                               ,          191,             7,          18,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1953,ECE                                                                                                 ,MSE
372                                                                                                 ,Ylaya                                                                                               ,JACKSON                                                                                             ,          613,             5,          20,female                                                                                              ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1827,Material Science                                                                                    ,MS
373                                                                                                 ,Gimli                                                                                               ,JONES                                                                                               ,          719,             9,          24,male                                                                                                ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Pelargir                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1885,ECE                                                                                                 ,MA
374                                                                                                 ,Hangvul                                                                                             ,WILLIAMS                                                                                            ,          785,             2,          16,female                                                                                              ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
375                                                                                                 ,Frodo                                                                                               ,GARCIA                                                                                              ,          404,             1,          24,male                                                                                                ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1923,Baby Stylist                                                                                        ,MS
375                                                                                                 ,Frodo                                                                                               ,GARCIA                                                                                              ,          404,             1,          24,male                                                                                                ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1977,EE                                                                                                  ,MS
376                                                                                                 ,Ella                                                                                                ,THOMPSON                                                                                            ,          194,            11,          19,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1829,Material Science                                                                                    ,MS
377                                                                                                 ,Arantir                                                                                             ,BROWN                                                                                               ,          512,            11,           9,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
378                                                                                                 ,Saruman                                                                                             ,MARTINEZ                                                                                            ,          727,             2,          29,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1890,ME                                                                                                  ,BS
379                                                                                                 ,Aragorn                                                                                             ,JOHNSON                                                                                             ,          462,             6,          23,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1937,Scocial Science                                                                                     ,BS
379                                                                                                 ,Aragorn                                                                                             ,JOHNSON                                                                                             ,          462,             6,          23,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1938,Microbiology                                                                                        ,BA
380                                                                                                 ,Biara                                                                                               ,BROWN                                                                                               ,          925,            10,          29,female                                                                                              ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1834,Cell Biology                                                                                        ,MA
380                                                                                                 ,Biara                                                                                               ,BROWN                                                                                               ,          925,            10,          29,female                                                                                              ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1944,ECE                                                                                                 ,BS
381                                                                                                 ,Brianna                                                                                             ,THOMPSON                                                                                            ,          563,            11,           9,female                                                                                              ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1994,Plant Biology                                                                                       ,MA
381                                                                                                 ,Brianna                                                                                             ,THOMPSON                                                                                            ,          563,            11,           9,female                                                                                              ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1977,BME                                                                                                 ,MA
381                                                                                                 ,Brianna                                                                                             ,THOMPSON                                                                                            ,          563,            11,           9,female                                                                                              ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1994,Physics                                                                                             ,MS
381                                                                                                 ,Brianna                                                                                             ,THOMPSON                                                                                            ,          563,            11,           9,female                                                                                              ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1855,Cell Biology                                                                                        ,MA
